t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
17677,quiet_pre,-0.0192,S,0.0,0,0.0,-0.0999999999999994
17773,quiet_pre,-0.0192,S,0.0,0,0.0,-0.0999999999999994
17869,quiet_pre,-0.0191,S,0.0,0,0.0,0.0
17965,quiet_pre,-0.0191,S,0.0,0,0.0,0.0
18061,quiet_pre,-0.0191,S,0.0,0,0.0,0.0
18154,quiet_pre,-0.0191,S,0.0,0,0.0,0.0
18250,quiet_pre,-0.0191,S,0.0,0,0.0,0.0
18346,quiet_pre,-0.0188,U,0.0,0,0.0,0.29999999999999816
18442,quiet_pre,-0.0188,U,0.0,0,0.0,0.29999999999999816
18538,quiet_pre,-0.0188,U,0.0,0,0.0,0.29999999999999816
18633,quiet_pre,-0.0187,U,0.0,0,0.0,0.3999999999999976
18729,quiet_pre,-0.0187,U,0.0,0,0.0,0.3999999999999976
18825,quiet_pre,-0.0186,U,0.0,0,0.0,0.5000000000000004
18921,quiet_pre,-0.0186,U,0.0,0,0.0,0.5000000000000004
19017,quiet_pre,-0.0185,U,0.0,0,0.0,0.5999999999999999
19111,quiet_pre,-0.0185,U,0.0,0,0.0,0.5999999999999999
19207,quiet_pre,-0.0185,U,0.0,0,0.0,0.5999999999999999
19302,quiet_pre,-0.0184,U,0.0,0,0.0,0.6999999999999993
19398,quiet_pre,-0.0184,U,0.0,0,0.0,0.6999999999999993
19494,quiet_pre,-0.0184,S,0.0,0,0.0,0.6999999999999993
19590,quiet_pre,-0.0184,S,0.0,0,0.0,0.6999999999999993
19686,quiet_pre,-0.0183,U,0.0,0,0.0,0.7999999999999986
19782,quiet_pre,-0.0183,S,0.0,0,0.0,0.7999999999999986
19878,quiet_pre,-0.0183,S,0.0,0,0.0,0.7999999999999986
19971,quiet_pre,-0.0182,U,0.0,0,0.0,0.899999999999998
20067,quiet_pre,-0.0182,U,0.0,0,0.0,0.899999999999998
20163,quiet_pre,-0.0181,U,0.0,0,0.0,0.9999999999999974
20259,quiet_pre,-0.018,U,0.0,0,0.0,1.1000000000000003
20355,quiet_pre,-0.018,U,0.0,0,0.0,1.1000000000000003
20451,quiet_pre,-0.0179,U,0.0,0,0.0,1.1999999999999997
20546,quiet_pre,-0.0179,U,0.0,0,0.0,1.1999999999999997
20642,quiet_pre,-0.0178,U,0.0,0,0.0,1.2999999999999992
20738,quiet_pre,-0.0178,U,0.0,0,0.0,1.2999999999999992
20832,quiet_pre,-0.0177,U,0.0,0,0.0,1.3999999999999986
20928,quiet_pre,-0.0177,U,0.0,0,0.0,1.3999999999999986
21024,quiet_pre,-0.0176,U,0.0,0,0.0,1.4999999999999978
21119,quiet_pre,-0.0176,U,0.0,0,0.0,1.4999999999999978
21215,quiet_pre,-0.0175,U,0.0,0,0.0,1.5999999999999972
21311,quiet_pre,-0.0175,U,0.0,0,0.0,1.5999999999999972
21407,quiet_pre,-0.0174,U,0.0,0,0.0,1.7000000000000002
21503,quiet_pre,-0.0174,U,0.0,0,0.0,1.7000000000000002
21599,quiet_pre,-0.0173,U,0.0,0,0.0,1.7999999999999996
21695,quiet_pre,-0.0173,U,0.0,0,0.0,1.7999999999999996
21788,quiet_pre,-0.0173,U,0.0,0,0.0,1.7999999999999996
21884,quiet_pre,-0.0172,U,0.0,0,0.0,1.899999999999999
21980,quiet_pre,-0.0172,U,0.0,0,0.0,1.899999999999999
22076,quiet_pre,-0.0171,U,0.0,0,0.0,1.9999999999999982
22172,quiet_pre,-0.0171,U,0.0,0,0.0,1.9999999999999982
22268,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
22363,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
22459,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
22555,quiet_pre,-0.0169,U,0.0,0,0.0,2.2000000000000006
22649,quiet_pre,-0.0169,U,0.0,0,0.0,2.2000000000000006
22745,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
22852,quiet_pre,-0.0168,U,0.0,0,0.0,2.3
23032,quiet_pre,-0.0167,U,0.0,0,0.0,2.3999999999999995
23128,quiet_pre,-0.0167,U,0.0,0,0.0,2.3999999999999995
23224,quiet_pre,-0.0167,U,0.0,0,0.0,2.3999999999999995
23320,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
23416,quiet_pre,-0.0166,U,0.0,0,0.0,2.4999999999999987
23510,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
23605,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
23701,quiet_pre,-0.0165,U,0.0,0,0.0,2.5999999999999983
23797,quiet_pre,-0.0165,U,0.0,0,0.0,2.5999999999999983
23893,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
23989,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24085,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24181,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24276,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24372,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24466,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24562,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24658,quiet_pre,-0.0165,S,0.0,0,0.0,2.5999999999999983
24754,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
24850,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
24945,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
25041,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
25137,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
25233,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
25327,quiet_pre,-0.0166,S,0.0,0,0.0,2.4999999999999987
25423,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25519,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25614,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25710,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25806,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25902,quiet_pre,-0.0167,S,0.0,0,0.0,2.3999999999999995
25998,quiet_pre,-0.0169,U,0.0,0,0.0,2.2000000000000006
26093,quiet_pre,-0.0169,U,0.0,0,0.0,2.2000000000000006
