run_id,round,date_utc,started_utc,started_local,powder_id,display,batch,protocol,block,dose_n,dose_seq,target_mg,delivered_mg,error_mg,error_pct,abs_error_mg,time_s,status,pass_fw_status,pass_fw_abs5,pass_5pct,auger_rev_fw,stepper_rev,auger_rev_if_48_16,taps,bulk_cycles,fine_cycles,tap_cycles,phase_cycles,actuated,reconstructed,read_path,location,run_qc_valid,run_qc_verdict,dose_valid,invalid_reason,caveat,source,note,tare_warning_pan_g,tare_baseline_mg,tare_drift_mg_per_min,tare_read_noise_mg,bulk_gain_mg,bulk_end_s,bulk_skipped,fine_gain_mg,fine_end_s,fine_skipped,tap_gain_mg,tap_end_s,tap_skipped,nudges,no_flow_msg,last_trace_mass_g,last_trace_elapsed_s
20260806T145120Z_salt,1,2026-08-06,2026-08-06T14:51:20.847638+00:00,2026-08-06 08:51:20 MDT,salt,NaCl (control),food-safe-2026-08,G,G,2,2,1000.0,1008.8,8.8,0.88,8.8,113.0,overshoot,False,False,True,6.92,15.224,5.075,0,14,26,0,bulk:14;fine:26;tap:0,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,542.1,7.0,False,466.7,113.0,False,,,True,0,False,1.0088,113.0
20260811T183043Z_alsi10mg,1,2026-08-11,2026-08-11T18:30:43.564056+00:00,2026-08-11 12:30:43 MDT,alsi10mg,AlSi10Mg,metal-2026-08,G,G,0,0,1000.0,994.8,-5.2,-0.52,5.2,320.0,stalled,False,False,True,23.43,51.546,17.182,82,67,47,41,bulk:67;fine:47;tap:41,True,False,read_stable,shared_fume_hood,False,no-tilt-servo-fault,False,run QC invalid: no-tilt-servo-fault,,git run JSON,,,,,,426.5,24.0,False,534.2,214.0,False,34.1,320.0,False,10,True,0.9948,320.0
20260811T183043Z_alsi10mg,1,2026-08-11,2026-08-11T18:30:43.564056+00:00,2026-08-11 12:30:43 MDT,alsi10mg,AlSi10Mg,metal-2026-08,G,G,1,1,1000.0,967.7,-32.3,-3.23,32.3,313.0,stalled,False,False,True,14.51,31.922,10.641,78,31,49,39,bulk:31;fine:49;tap:39,True,False,read_stable,shared_fume_hood,False,no-tilt-servo-fault,False,run QC invalid: no-tilt-servo-fault,,git run JSON,,,,,,419.5,13.0,False,534.7,211.0,False,13.5,313.0,False,10,True,0.9677,313.0
20260811T183043Z_alsi10mg,1,2026-08-11,2026-08-11T18:30:43.564056+00:00,2026-08-11 12:30:43 MDT,alsi10mg,AlSi10Mg,metal-2026-08,G,G,2,2,1000.0,978.8,-21.2,-2.12,21.2,307.0,stalled,False,False,True,14.39,31.658,10.553,76,32,48,38,bulk:32;fine:48;tap:38,True,False,read_stable,shared_fume_hood,False,no-tilt-servo-fault,False,run QC invalid: no-tilt-servo-fault,,git run JSON,,,,,,418.8,13.0,False,531.6,207.0,False,28.4,307.0,False,10,True,0.9788,307.0
20260812T215154Z_salt,1,2026-08-12,2026-08-12T21:51:54.498951+00:00,2026-08-12 15:51:54 MDT,salt,NaCl (control),food-safe-2026-08,G,G,0,0,1000.0,995.6,-4.4,-0.44,4.4,169.0,ok,True,True,True,5.42,11.924,3.975,70,11,14,35,bulk:11;fine:14;tap:35,True,False,read_stable,shared_fume_hood,True,ok,True,,,git run JSON,,,,,,587.5,7.0,False,365.7,64.0,False,42.4,169.0,False,0,False,0.9956,169.0
20260812T215154Z_salt,1,2026-08-12,2026-08-12T21:51:54.498951+00:00,2026-08-12 15:51:54 MDT,salt,NaCl (control),food-safe-2026-08,G,G,1,1,1000.0,996.8,-3.2,-0.32,3.2,132.0,ok,True,True,True,4.5,9.9,3.3,42,12,14,21,bulk:12;fine:14;tap:21,True,False,read_stable,shared_fume_hood,True,ok,True,,,git run JSON,,,,,,610.9,7.0,False,348.4,64.0,False,37.5,132.0,False,0,False,0.9968,132.0
20260812T215154Z_salt,1,2026-08-12,2026-08-12T21:51:54.498951+00:00,2026-08-12 15:51:54 MDT,salt,NaCl (control),food-safe-2026-08,G,G,2,2,1000.0,995.3,-4.7,-0.47,4.7,203.0,ok,True,True,True,5.07,11.154,3.718,122,12,11,61,bulk:12;fine:11;tap:61,True,False,read_stable,shared_fume_hood,True,ok,True,,,git run JSON,,,,,,685.8,8.0,False,273.9,53.0,False,35.6,203.0,False,2,False,0.9953,203.0
20260821T161838Z_silicon-325,1,2026-08-21,2026-08-21T16:18:38.225294+00:00,2026-08-21 10:18:38 MDT,silicon-325,Si (-325 mesh),metal-2026-08,G,G,0,0,1000.0,0.0,-1000.0,-100.0,1000.0,7.0,stalled,False,False,False,4.58,10.076,3.359,0,12,,,bulk:12,True,False,read_stable,shared_fume_hood,True,conveying-slowly,True,,,git run JSON,,,,,,0.0,7.0,False,,,False,,,False,0,True,0.0,7.0
20260821T161838Z_silicon-325,1,2026-08-21,2026-08-21T16:18:38.225294+00:00,2026-08-21 10:18:38 MDT,silicon-325,Si (-325 mesh),metal-2026-08,G,G,1,1,1000.0,1.6,-998.4,-99.84,998.4,6.0,stalled,False,False,False,4.58,10.076,3.359,0,12,,,bulk:12,True,False,read_stable,shared_fume_hood,True,conveying-slowly,True,,,git run JSON,,,,,,1.6,6.0,False,,,False,,,False,0,True,0.0016,6.0
20260821T161838Z_silicon-325,1,2026-08-21,2026-08-21T16:18:38.225294+00:00,2026-08-21 10:18:38 MDT,silicon-325,Si (-325 mesh),metal-2026-08,G,G,2,2,1000.0,0.4,-999.6,-99.96,999.6,7.0,stalled,False,False,False,4.58,10.076,3.359,0,14,,,bulk:14,True,False,read_stable,shared_fume_hood,True,conveying-slowly,True,,,git run JSON,,,,,,0.4,7.0,False,,,False,,,False,0,True,0.0004,7.0
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,0,0,50.0,0.0,-50.0,-100.0,50.0,13.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,1,1,50.0,7539.3,7489.3,14978.6,7489.3,7.0,overshoot,False,False,False,0.0,0.0,0.0,0,0,0,0,bulk:0;fine:0;tap:0,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,True,,,True,,,True,0,False,,
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,2,2,50.0,57.5,7.5,15.0,7.5,10.0,overshoot,False,False,False,0.13,0.286,0.095,0,0,1,0,bulk:0;fine:1;tap:0,True,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,run QC invalid: doser-scale-unreadable,shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,True,57.5,10.0,False,,,True,0,False,0.0575,10.0
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,3,3,200.0,168.1,-31.9,-15.95,31.9,49.0,scale-error,False,False,False,0.5,1.1,0.367,12,0,4,5,bulk:0;fine:4;tap:5,True,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,run QC invalid: doser-scale-unreadable; no terminal control state (scale-error),shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,True,165.7,19.0,False,2.4,49.0,False,0,False,0.1681,49.0
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,4,4,200.0,-0.1,-200.1,-100.05,200.1,31.0,scale-error,False,False,False,0.25,0.55,0.183,0,0,1,,bulk:0;fine:1,True,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,run QC invalid: doser-scale-unreadable; no terminal control state (scale-error),shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,True,-0.1,31.0,False,,,False,0,False,-0.0001,31.0
20260903T163527Z_salt,2,2026-09-03,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,salt,NaCl (control),food-safe-2026-08,H,H,5,5,200.0,6.1,-193.9,-96.95,193.9,33.0,scale-error,False,False,False,0.25,0.55,0.183,0,0,1,,bulk:0;fine:1,True,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,run QC invalid: doser-scale-unreadable; no terminal control state (scale-error),shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,git run JSON,,,,,,,,True,6.0,33.0,False,,,False,0,False,0.0061,33.0
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,0,0,50.0,0.0,-50.0,-100.0,50.0,13.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,1,1,50.0,0.0,-50.0,-100.0,50.0,12.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,2,2,50.0,0.0,-50.0,-100.0,50.0,13.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,3,3,200.0,0.0,-200.0,-100.0,200.0,12.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,4,4,200.0,0.0,-200.0,-100.0,200.0,13.0,scale-error,False,False,False,0.0,0.0,0.0,0,,,,,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no terminal control state (scale-error); no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,False,,,False,,,False,0,False,,
20260903T170437Z_salt,2,2026-09-03,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,salt,NaCl (control),food-safe-2026-08,H,H,5,5,200.0,1541.0,1341.0,670.5,1341.0,10.0,overshoot,False,False,False,0.0,0.0,0.0,0,0,0,0,bulk:0;fine:0;tap:0,False,False,read_stable,shared_fume_hood,False,doser-scale-unreadable,False,"run QC invalid: doser-scale-unreadable; no actuation (0 auger rev, 0 taps): afterflow/settling, not a controller measurement",shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,git run JSON,,,,,,,,True,,,True,,,True,0,False,,
20260903T214049Z_salt,2,2026-09-03,2026-09-03T21:40:49.956552+00:00,2026-09-03 15:40:49 MDT,salt,NaCl (control),food-safe-2026-08,H,H,0,0,50.0,58.9,8.9,17.8,8.9,17.0,overshoot,False,False,False,0.25,0.55,0.183,0,0,2,0,bulk:0;fine:2;tap:0,True,False,bracket,new_fume_hood,True,ok,True,,first new-hood run; first bracket read path; drift -3.6/-1.8/+2.6 mg/min (2.8-3.8 mg over a 17-64 s dose),git run JSON,,,0.2,33.3,0.08,,,True,58.1,17.0,False,,,True,0,False,0.0589,17.0
