M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,1200.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,75563,1.0361,S
S,75763,1.0361,S
S,75944,1.0361,S
S,76142,1.0361,S
S,76325,1.0361,S
S,76521,1.0361,S
S,76709,1.0361,S
S,76900,1.0361,S
S,77100,1.0361,S
S,77281,1.0361,S
S,77569,1.0361,S
S,77763,1.0361,S
S,77963,1.0361,S
S,78142,1.0361,S
S,78342,1.0361,S
S,78525,1.0361,S
S,78721,1.0361,S
S,78909,1.0361,S
S,79101,1.0361,S
S,79301,1.0361,S
S,79482,1.0361,S
S,79770,1.0361,S
S,79964,1.0361,S
S,80151,1.0361,S
S,80343,1.0361,S
S,80543,1.0361,S
S,80726,1.0361,S
S,80922,1.0361,S
S,81107,1.0361,S
S,81301,1.0361,S
S,81501,1.0361,S
S,81680,1.0361,S
S,81968,1.0361,S
S,82164,1.0361,S
S,82351,1.0361,S
S,82543,1.0361,S
S,82743,1.0361,S
S,82924,1.0361,S
S,83122,1.0361,S
S,83308,1.0361,S
S,83501,1.0361,S
S,83701,1.0361,S
S,83881,1.0361,S
S,84168,1.0361,S
S,84364,1.0361,S
S,84550,1.0361,S
S,84743,1.0361,S
S,84943,1.0361,S
S,85125,1.0361,S
S,85322,1.0361,S
S,85506,1.0361,S
S,85701,1.0361,S
S,85890,1.0361,S
S,86185,1.0361,S
S,86367,1.0361,S
S,86564,1.0361,S
S,86750,1.0361,S
S,86943,1.0361,S
S,87143,1.0361,S
S,87323,1.0361,S
S,87522,1.0361,S
S,87707,1.0362,S
S,87901,1.0362,S
S,88088,1.0362,S
S,88385,1.0362,S
S,88567,1.0362,S
S,88764,1.0362,S
S,88949,1.0362,S
S,89143,1.0362,S
S,89343,1.0362,S
S,89524,1.0362,S
S,89722,1.0362,S
S,89905,1.0362,S
S,90101,1.0362,S
S,90289,1.0362,S
S,90586,1.0362,S
S,90766,1.0361,S
S,90965,1.0361,S
S,91149,1.0361,S
S,91344,1.0361,S
S,91531,1.0361,S
S,91723,1.0361,S
S,91923,1.0361,S
S,92106,1.0361,S
S,92302,1.0361,S
S,92487,1.0361,S
S,92775,1.0361,S
S,92966,1.0361,S
S,93166,1.0361,S
S,93348,1.0361,S
S,93545,1.0361,S
S,93731,1.0361,S
S,93925,1.0361,S
S,94113,1.0361,S
S,94304,1.0361,S
S,94504,1.0362,S
S,94688,1.0362,S
S,94973,1.0362,S
S,95167,1.0362,S
S,95367,1.0362,S
S,95548,1.0362,S
S,95746,1.0362,S
S,95930,1.0362,S
S,96125,1.0362,S
S,96325,1.0362,S
S,96505,1.0362,S
S,96704,1.0362,S
S,96886,1.0362,S
S,97174,1.0362,S
S,97368,1.0362,S
S,97568,1.0362,S
S,97747,1.0362,S
S,97947,1.0362,S
S,98130,1.0362,S
S,98326,1.0362,S
S,98513,1.0362,S
S,98705,1.0361,S
S,98905,1.0361,S
S,99086,1.0361,S
S,99374,1.0361,S
S,99568,1.0361,S
S,99756,1.0361,S
S,99947,1.0361,S
S,100147,1.0361,S
S,100329,1.0361,S
S,100526,1.0361,S
S,100712,1.0361,S
S,100905,1.0361,S
S,101105,1.0361,S
S,101285,1.0361,S
S,101573,1.0362,S
S,101768,1.0362,S
S,101956,1.0362,S
S,102147,1.0362,S
S,102347,1.0362,S
S,102529,1.0362,S
S,102726,1.0362,S
S,102913,1.0362,S
S,103105,1.0362,S
S,103305,1.0363,S
S,103486,1.0363,S
S,103773,1.0363,S
S,103968,1.0363,S
S,104154,1.0363,S
S,104348,1.0363,S
S,104548,1.0363,S
S,104729,1.0364,S
S,104927,1.0364,S
S,105111,1.0364,S
S,105306,1.0364,S
S,105506,1.0364,S
S,105790,1.0364,S
S,105972,1.0364,S
S,106169,1.0364,S
S,106355,1.0365,S
S,106548,1.0365,S
S,106748,1.0365,S
S,106928,1.0365,S
S,107131,1.0365,S
S,107311,1.0365,S
S,107506,1.0365,S
S,107693,1.0365,S
S,107990,1.0365,S
S,108172,1.0365,S
S,108369,1.0365,S
S,108553,1.0365,S
S,108748,1.0365,S
S,108948,1.0364,S
S,109128,1.0364,S
S,109327,1.0364,S
S,109510,1.0364,S
S,109706,1.0364,S
S,109893,1.0364,S
S,110190,1.0364,S
S,110370,1.0364,S
S,110569,1.0364,S
S,110754,1.0364,S
S,110948,1.0364,S
S,111135,1.0364,S
S,111327,1.0363,S
